time,position,velocity
0,2,49
0.1,6.851,48.02
0.2,11.604,47.04
0.3,16.259,46.06
0.4,20.816,45.08
0.5,25.275,44.1
0.6,29.636,43.12
0.7,33.899,42.14
0.8000001,38.064,41.16
0.9000001,42.131,40.18
1,46.10001,39.2
1.1,49.971,38.22
1.2,53.74401,37.24
1.3,57.41901,36.26
1.4,60.99601,35.28
1.5,64.47501,34.3
1.6,67.85601,33.32
1.7,71.13901,32.34
1.8,74.32401,31.36
1.9,77.41101,30.38
2,80.40001,29.4
2.1,83.291,28.42
2.2,86.084,27.44
2.3,88.779,26.46
2.4,91.376,25.48
2.5,93.87499,24.5
2.6,96.27599,23.52
2.7,98.57899,22.54
2.799999,100.784,21.56001
2.899999,102.891,20.58001
2.999999,104.9,19.60001
3.099999,106.811,18.62001
3.199999,108.624,17.64001
3.299999,110.339,16.66001
3.399999,111.956,15.68001
3.499999,113.475,14.70001
3.599999,114.896,13.72001
3.699999,116.219,12.74001
3.799999,117.444,11.76001
3.899998,118.571,10.78001
3.999998,119.6,9.800015
4.099998,120.531,8.820014
4.199998,121.364,7.840015
4.299998,122.099,6.860016
4.399998,122.736,5.880017
4.499998,123.275,4.900018
4.599998,123.716,3.920019
4.699998,124.059,2.94002
4.799998,124.304,1.960021
4.899998,124.451,0.9800215
4.999998,124.5,2.241135E-05
5.099998,124.451,-0.9799767
5.199997,124.304,-1.959976
5.299997,124.059,-2.939975
5.399997,123.716,-3.919974
5.499997,123.275,-4.899973
5.599997,122.736,-5.879972
5.699997,122.099,-6.859971
5.799997,121.364,-7.83997
5.899997,120.531,-8.819969
5.999997,119.6,-9.799969
6.099997,118.571,-10.77997
6.199996,117.444,-11.75997
6.299996,116.219,-12.73997
6.399996,114.896,-13.71996
6.499996,113.4751,-14.69996
6.599996,111.9561,-15.67996
6.699996,110.3391,-16.65996
6.799996,108.6241,-17.63996
6.899996,106.8111,-18.61996
6.999996,104.9001,-19.59996
7.099996,102.8911,-20.57996
7.199996,100.7841,-21.55996
7.299995,98.5791,-22.53996
7.399995,96.27611,-23.51995
7.499995,93.87511,-24.49995
7.599995,91.37612,-25.47995
7.699995,88.77913,-26.45995
7.799995,86.08413,-27.43995
7.899995,83.29114,-28.41995
7.999995,80.40015,-29.39995
8.099995,77.41116,-30.37995
8.199995,74.32415,-31.35995
8.299995,71.13914,-32.33996
8.399996,67.85613,-33.31996
8.499996,64.47512,-34.29996
8.599997,60.99611,-35.27997
8.699997,57.4191,-36.25997
8.799997,53.74409,-37.23997
8.899998,49.97108,-38.21998
8.999998,46.10007,-39.19998
9.099998,42.13105,-40.17999
9.199999,38.06404,-41.15999
9.299999,33.89902,-42.14
9.4,29.63601,-43.12
9.5,25.27499,-44.1
9.6,20.81597,-45.08001
9.700001,16.25896,-46.06001
9.800001,11.60394,-47.04001
9.900002,6.850917,-48.02002
10,1.999897,-49.00002
