time,position,velocity
0,2,49
0.1,6.9,48.02
0.2,11.702,47.04
0.3,16.406,46.06
0.4,21.012,45.08
0.5,25.52,44.1
0.6,29.93,43.12
0.7,34.242,42.14
0.8000001,38.456,41.16
0.9000001,42.572,40.18
1,46.59,39.2
1.1,50.51001,38.22001
1.2,54.33201,37.24001
1.3,58.05601,36.26001
1.4,61.68201,35.28001
1.5,65.21001,34.30001
1.6,68.64001,33.32001
1.7,71.97201,32.34001
1.8,75.20601,31.36001
1.9,78.34201,30.38001
2,81.38001,29.40001
2.1,84.32001,28.42001
2.2,87.16202,27.44001
2.3,89.90602,26.46001
2.4,92.55202,25.48001
2.5,95.10003,24.50001
2.6,97.55003,23.52001
2.7,99.90204,22.54001
2.799999,102.156,21.56001
2.899999,104.312,20.58001
2.999999,106.37,19.60001
3.099999,108.33,18.62001
3.199999,110.192,17.64001
3.299999,111.956,16.66002
3.399999,113.622,15.68001
3.499999,115.19,14.70001
3.599999,116.66,13.72001
3.699999,118.032,12.74001
3.799999,119.306,11.76001
3.899998,120.482,10.78001
3.999998,121.56,9.800012
4.099998,122.54,8.820011
4.199998,123.4221,7.840011
4.299998,124.2061,6.860011
4.399998,124.8921,5.880011
4.499998,125.4801,4.900011
4.599998,125.9701,3.920011
4.699998,126.3621,2.940011
4.799998,126.6561,1.960011
4.899998,126.8521,0.980011
4.999998,126.9501,1.095265E-05
5.099998,126.9501,-0.9799891
5.199997,126.8521,-1.959989
5.299997,126.6561,-2.939989
5.399997,126.3621,-3.919989
5.499997,125.9701,-4.899989
5.599997,125.4801,-5.879989
5.699997,124.8921,-6.859989
5.799997,124.2061,-7.839989
5.899997,123.4221,-8.819989
5.999997,122.5401,-9.79999
6.099997,121.5601,-10.77999
6.199996,120.4821,-11.75999
6.299996,119.3061,-12.73999
6.399996,118.0321,-13.71999
6.499996,116.6601,-14.69999
6.599996,115.1901,-15.67999
6.699996,113.6221,-16.65999
6.799996,111.9561,-17.63999
6.899996,110.1921,-18.61999
6.999996,108.3301,-19.59999
7.099996,106.3701,-20.57999
7.199996,104.3121,-21.55999
7.299995,102.1561,-22.53999
7.399995,99.90208,-23.51999
7.499995,97.55008,-24.49999
7.599995,95.10008,-25.47999
7.699995,92.55209,-26.45999
7.799995,89.90609,-27.43999
7.899995,87.16209,-28.41999
7.999995,84.3201,-29.39999
8.099995,81.3801,-30.37999
8.199995,78.34209,-31.35999
8.299995,75.20609,-32.33998
8.399996,71.97209,-33.31998
8.499996,68.64009,-34.29998
8.599997,65.21009,-35.27998
8.699997,61.68209,-36.25998
8.799997,58.05609,-37.23998
8.899998,54.33209,-38.21998
8.999998,50.51009,-39.19998
9.099998,46.5901,-40.17998
9.199999,42.5721,-41.15998
9.299999,38.4561,-42.13998
9.4,34.2421,-43.11998
9.5,29.93011,-44.09998
9.6,25.52011,-45.07998
9.700001,21.01211,-46.05998
9.800001,16.40611,-47.03998
9.900002,11.70212,-48.01998
10,6.900117,-48.99998
