time,position,velocity
0,2,49
0.1,6.9,48.02
0.2,11.702,46.5598
0.3,16.35798,45.1142
0.4,20.8694,43.68306
0.5,25.23771,42.26623
0.6,29.46433,40.86356
0.7,33.55069,39.47493
0.8000001,37.49818,38.10018
0.9000001,41.3082,36.73918
1,44.98212,35.39178
1.1,48.52129,34.05787
1.2,51.92708,32.73729
1.3,55.20081,31.42991
1.4,58.3438,30.13561
1.5,61.35736,28.85426
1.6,64.24279,27.58571
1.7,67.00136,26.32985
1.8,69.63435,25.08656
1.9,72.14301,23.85569
2,74.52857,22.63713
2.1,76.79228,21.43076
2.2,78.93536,20.23645
2.3,80.959,19.05409
2.4,82.86441,17.88355
2.5,84.65276,16.72471
2.6,86.32523,15.57746
2.7,87.88298,14.44169
2.799999,89.32715,13.31727
2.899999,90.65887,12.2041
2.999999,91.87929,11.10206
3.099999,92.98949,10.01104
3.199999,93.9906,8.930926
3.299999,94.88369,7.861617
3.399999,95.66985,6.803001
3.499999,96.35015,5.754971
3.599999,96.92565,4.717422
3.699999,97.39739,3.690247
3.799999,97.76642,2.673345
3.899998,98.03375,1.666611
3.999998,98.20042,0.6699452
4.099998,98.26741,-0.3167543
4.199998,98.23573,-1.293587
4.299998,98.10638,-2.260651
4.399998,97.88031,-3.218045
4.499998,97.5585,-4.165864
4.599998,97.14191,-5.104206
4.699998,96.63149,-6.033164
4.799998,96.02818,-6.952832
4.899998,95.33289,-7.863304
4.999998,94.54656,-8.76467
5.099998,93.6701,-9.657023
5.199997,92.70439,-10.54045
5.299997,91.65034,-11.41505
5.399997,90.50884,-12.2809
5.499997,89.28075,-13.13809
5.599997,87.96694,-13.98671
5.699997,86.56827,-14.82684
5.799997,85.08559,-15.65857
5.899997,83.51973,-16.48199
5.999997,81.87153,-17.29717
6.099997,80.14182,-18.10419
6.199996,78.3314,-18.90315
6.299996,76.44109,-19.69412
6.399996,74.47167,-20.47718
6.499996,72.42396,-21.25241
6.599996,70.29871,-22.01988
6.699996,68.09673,-22.77968
6.799996,65.81876,-23.53189
6.899996,63.46557,-24.27657
6.999996,61.03791,-25.0138
7.099996,58.53653,-25.74366
7.199996,55.96216,-26.46623
7.299995,53.31554,-27.18156
7.399995,50.59739,-27.88975
7.499995,47.80841,-28.59085
7.599995,44.94933,-29.28494
7.699995,42.02083,-29.9721
7.799995,39.02362,-30.65237
7.899995,35.95838,-31.32585
7.999995,32.8258,-31.99259
8.099995,29.62654,-32.65267
8.199995,26.36127,-33.30614
8.299995,23.03066,-33.95308
8.399996,19.63535,-34.59355
8.499996,16.176,-35.22761
8.599997,12.65324,-35.85534
8.699997,9.067702,-36.47678
8.799997,5.420024,-37.09201
8.899998,1.710822,-37.7011
8.999998,-2.059287,-38.30408
9.099998,-5.889696,-38.90104
9.199999,-9.7798,-39.49203
9.299999,-13.729,-40.07711
9.4,-17.73672,-40.65634
9.5,-21.80235,-41.22977
9.6,-25.92533,-41.79748
9.700001,-30.10508,-42.3595
9.800001,-34.34103,-42.91591
9.900002,-38.63262,-43.46675
10,-42.97929,-44.01208
